Roll No.,Name,Number of courses they wish to take,First course preference,Second course preference,Third course preference,Fourth course preference,Fifth course preference,Sixth course preference
21520237,Jerry Trujillo,2,HS 649-Public Policy and its Impact Evaluation,HS 643-Indian and Western Cultural Theory,MSE 401-Introduction to Polymer Physics and Processing,ME 636-Fuel Cell and Battery Systems,CL 628-Liquid State Theory,ES 623-Biomolecular Materials Science
22510308,Danielle Marquez,4,CH 401-Food Chemistry,ES 243-Biology for Engineers,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,CE 636-Traffic and Roadway Engineering,HS 643-Indian and Western Cultural Theory
20510521,Malakai O’Connor,1,EH 617-Advanced Field Techniques in Earth Sciences,EH 614-Physics of the Lithosphere,MSE 310-Physics of Materials,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics,HS 649-Public Policy and its Impact Evaluation
20110401,Charli Khan,1,MSE 310-Physics of Materials,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,,,
19520057,Kendrick Bowman,4,MA 624-Partial Differential Equations,MSE 625-Thermodynamics of thin film growth,MA 605-Commutative Algebra,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,CH 401-Food Chemistry
21520671,Fiona Briggs,1,HS 643-Indian and Western Cultural Theory,MSE 401-Introduction to Polymer Physics and Processing,,,,
20520681,Case Schmitt,3,MA 624-Partial Differential Equations,MSE 401-Introduction to Polymer Physics and Processing,MSE 625-Thermodynamics of thin film growth,CL 604-Advanced Reaction Engineering,ME 321-Mechanics of Deformable Bodies,HS 643-Indian and Western Cultural Theory
22510263,Queen Perez,1,ES 623-Biomolecular Materials Science,MSE 401-Introduction to Polymer Physics and Processing,CL 604-Advanced Reaction Engineering,MSE 625-Thermodynamics of thin film growth,,
19520096,Owen Lucas,1,ES 613-Modern Control Theory,ES 623-Biomolecular Materials Science,ME 636-Fuel Cell and Battery Systems,CL 604-Advanced Reaction Engineering,MA 605-Commutative Algebra,MSE 209-Material Thermodynamics and Kinetics
23110866,Phoenix McConnell,4,HS 643-Indian and Western Cultural Theory,MSE 310-Physics of Materials,MA 624-Partial Differential Equations,HS 649-Public Policy and its Impact Evaluation,MA 605-Commutative Algebra,
23520650,London Boyle,3,MA 605-Commutative Algebra,CE 304-Concrete Design,ES 623-Biomolecular Materials Science,MSE 625-Thermodynamics of thin film growth,MSE 401-Introduction to Polymer Physics and Processing,
21520617,Aliya Christian,2,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory,ES 413-Deep Learning,CL 604-Advanced Reaction Engineering,CL 221-Chemical Engineering Thermodynamics,
21510605,Ledger Hickman,3,PH 607-Topics in Quantum and Statistical Mechanics,CL 221-Chemical Engineering Thermodynamics,ES 413-Deep Learning,ME 321-Mechanics of Deformable Bodies,CE 636-Traffic and Roadway Engineering,
21110810,Scarlette Mahoney,3,EH 617-Advanced Field Techniques in Earth Sciences,CS 303-Mathematical Foundations for AI,CG 506-Experimental Techniques in Cognitive Science,PH 607-Topics in Quantum and Statistical Mechanics,,
20110412,Kamryn Hinton,2,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry,,,,
22110039,Jaelynn White,2,HS 649-Public Policy and its Impact Evaluation,MSE 310-Physics of Materials,ME 636-Fuel Cell and Battery Systems,,,
19520580,Aiden Hudson,2,MSE 310-Physics of Materials,HS 643-Indian and Western Cultural Theory,MA 605-Commutative Algebra,EH 617-Advanced Field Techniques in Earth Sciences,ES 623-Biomolecular Materials Science,
21510929,Kamila Strong,1,EH 614-Physics of the Lithosphere,MA 605-Commutative Algebra,MSE 209-Material Thermodynamics and Kinetics,ES 243-Biology for Engineers,,
20520444,Axl Powers,4,MSE 209-Material Thermodynamics and Kinetics,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,HS 643-Indian and Western Cultural Theory,CH 401-Food Chemistry,ES 243-Biology for Engineers
20520588,Michelle Pennington,4,ES 243-Biology for Engineers,ME 636-Fuel Cell and Battery Systems,MSE 310-Physics of Materials,CG 506-Experimental Techniques in Cognitive Science,PH 607-Topics in Quantum and Statistical Mechanics,
23520596,Bobby McCall,4,ES 623-Biomolecular Materials Science,EH 617-Advanced Field Techniques in Earth Sciences,MSE 401-Introduction to Polymer Physics and Processing,CL 604-Advanced Reaction Engineering,MSE 310-Physics of Materials,EH 614-Physics of the Lithosphere
22520272,Kai Grimes,4,MSE 625-Thermodynamics of thin film growth,CL 604-Advanced Reaction Engineering,MA 624-Partial Differential Equations,HS 632-A Multilingual Nation,,
23110499,Harlan Cochran,1,CL 221-Chemical Engineering Thermodynamics,ME 636-Fuel Cell and Battery Systems,ES 613-Modern Control Theory,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications,
23520701,Alma Benitez,3,EH 617-Advanced Field Techniques in Earth Sciences,ES 613-Modern Control Theory,HS 643-Indian and Western Cultural Theory,MSE 625-Thermodynamics of thin film growth,,
21520933,Justice Knox,2,ES 623-Biomolecular Materials Science,ES 415-Nature-inspired Materials Design,EH 614-Physics of the Lithosphere,MA 605-Commutative Algebra,CE 304-Concrete Design,
20110679,Kallie Cantu,4,MA 624-Partial Differential Equations,HS 649-Public Policy and its Impact Evaluation,ES 413-Deep Learning,MA 603-Nonlinear Analysis with Applications,ES 415-Nature-inspired Materials Design,
23520879,Anakin Schmidt,4,PH 607-Topics in Quantum and Statistical Mechanics,EH 617-Advanced Field Techniques in Earth Sciences,ME 321-Mechanics of Deformable Bodies,MS 404-Neuromarketing,ES 415-Nature-inspired Materials Design,HS 643-Indian and Western Cultural Theory
19110388,Kimberly Henson,3,MA 624-Partial Differential Equations,CL 628-Liquid State Theory,ES 613-Modern Control Theory,,,
22520668,Bellamy Lee,4,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics,,
22510969,Scarlett Vo,1,PH 607-Topics in Quantum and Statistical Mechanics,ES 415-Nature-inspired Materials Design,MSE 310-Physics of Materials,MSE 209-Material Thermodynamics and Kinetics,MSE 625-Thermodynamics of thin film growth,
23110022,Gordon Travis,2,CL 628-Liquid State Theory,CE 304-Concrete Design,MSE 209-Material Thermodynamics and Kinetics,MSE 310-Physics of Materials,MA 603-Nonlinear Analysis with Applications,
22110444,Mazikee Zamora,4,MA 603-Nonlinear Analysis with Applications,ME 636-Fuel Cell and Battery Systems,PH 607-Topics in Quantum and Statistical Mechanics,MSE 209-Material Thermodynamics and Kinetics,EH 617-Advanced Field Techniques in Earth Sciences,
21520828,Quentin Jensen,2,MA 603-Nonlinear Analysis with Applications,MSE 625-Thermodynamics of thin film growth,EH 617-Advanced Field Techniques in Earth Sciences,,,
23510059,Jane Kemp,3,HS 649-Public Policy and its Impact Evaluation,MSE 209-Material Thermodynamics and Kinetics,CG 506-Experimental Techniques in Cognitive Science,ME 321-Mechanics of Deformable Bodies,MA 605-Commutative Algebra,ME 636-Fuel Cell and Battery Systems
19510671,Melvin Wilcox,2,HS 643-Indian and Western Cultural Theory,MSE 625-Thermodynamics of thin film growth,MA 624-Partial Differential Equations,,,
22510361,Ashlyn Velazquez,4,ME 636-Fuel Cell and Battery Systems,HS 649-Public Policy and its Impact Evaluation,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry
22510024,Drew Moreno,3,ES 413-Deep Learning,ME 321-Mechanics of Deformable Bodies,EH 617-Advanced Field Techniques in Earth Sciences,,,
19520194,Mary Coffey,2,CH 401-Food Chemistry,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,,,
22510614,Kody Waller,3,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,MSE 401-Introduction to Polymer Physics and Processing,,
20520601,Whitley Logan,2,ME 321-Mechanics of Deformable Bodies,MSE 310-Physics of Materials,CE 304-Concrete Design,,,
19520415,Rocco Manning,4,MSE 209-Material Thermodynamics and Kinetics,ME 321-Mechanics of Deformable Bodies,CH 401-Food Chemistry,CL 221-Chemical Engineering Thermodynamics,CE 636-Traffic and Roadway Engineering,MSE 401-Introduction to Polymer Physics and Processing
19110529,Jennifer Lester,2,ME 636-Fuel Cell and Battery Systems,CL 604-Advanced Reaction Engineering,CE 304-Concrete Design,,,
20520667,Lee Montgomery,1,ME 321-Mechanics of Deformable Bodies,CE 304-Concrete Design,ES 623-Biomolecular Materials Science,,,
19510324,Evangeline Payne,2,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,PH 607-Topics in Quantum and Statistical Mechanics,CG 506-Experimental Techniques in Cognitive Science,MSE 401-Introduction to Polymer Physics and Processing
22520165,Edward Watts,4,CL 221-Chemical Engineering Thermodynamics,ME 636-Fuel Cell and Battery Systems,ES 613-Modern Control Theory,HS 649-Public Policy and its Impact Evaluation,CH 401-Food Chemistry,
21510330,Melissa Marsh,1,HS 649-Public Policy and its Impact Evaluation,ES 613-Modern Control Theory,MSE 625-Thermodynamics of thin film growth,MSE 209-Material Thermodynamics and Kinetics,,
23510913,Bo Zhang,4,MSE 310-Physics of Materials,ME 321-Mechanics of Deformable Bodies,CL 604-Advanced Reaction Engineering,MSE 401-Introduction to Polymer Physics and Processing,MSE 625-Thermodynamics of thin film growth,ES 243-Biology for Engineers
22110365,Sarai Bennett,3,CL 604-Advanced Reaction Engineering,MSE 310-Physics of Materials,EH 614-Physics of the Lithosphere,,,
22110851,Leonardo Whitney,3,EH 617-Advanced Field Techniques in Earth Sciences,MA 624-Partial Differential Equations,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,,
21510571,Madalynn Chung,1,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,CL 604-Advanced Reaction Engineering,MSE 209-Material Thermodynamics and Kinetics,,
23110986,Ira Preston,2,ES 623-Biomolecular Materials Science,MA 624-Partial Differential Equations,MA 603-Nonlinear Analysis with Applications,PH 607-Topics in Quantum and Statistical Mechanics,MSE 209-Material Thermodynamics and Kinetics,
19520729,Indie Salgado,3,CL 221-Chemical Engineering Thermodynamics,HS 643-Indian and Western Cultural Theory,MSE 625-Thermodynamics of thin film growth,ME 321-Mechanics of Deformable Bodies,CL 628-Liquid State Theory,
20520792,Trace Foster,1,CL 604-Advanced Reaction Engineering,EH 614-Physics of the Lithosphere,MA 624-Partial Differential Equations,,,
19110016,Brielle Gillespie,1,MSE 310-Physics of Materials,HS 649-Public Policy and its Impact Evaluation,ES 243-Biology for Engineers,PH 607-Topics in Quantum and Statistical Mechanics,HS 632-A Multilingual Nation,
20110297,Forest Flowers,4,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,ES 243-Biology for Engineers,,
23520264,Ariya Hampton,4,MSE 310-Physics of Materials,MSE 401-Introduction to Polymer Physics and Processing,ME 636-Fuel Cell and Battery Systems,ME 321-Mechanics of Deformable Bodies,CL 221-Chemical Engineering Thermodynamics,
22510284,Hank Mayer,3,HS 649-Public Policy and its Impact Evaluation,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,,,
21110680,Ainhoa Schwartz,3,CS 303-Mathematical Foundations for AI,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications,MSE 625-Thermodynamics of thin film growth,,
20510210,Edwin Joseph,3,MSE 401-Introduction to Polymer Physics and Processing,PH 607-Topics in Quantum and Statistical Mechanics,ME 321-Mechanics of Deformable Bodies,,,
23110777,Gracelynn Booth,2,PH 607-Topics in Quantum and Statistical Mechanics,ES 243-Biology for Engineers,MSE 310-Physics of Materials,EH 617-Advanced Field Techniques in Earth Sciences,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory
23110185,Chaim Johnson,3,ES 243-Biology for Engineers,MSE 209-Material Thermodynamics and Kinetics,MA 624-Partial Differential Equations,MSE 310-Physics of Materials,HS 643-Indian and Western Cultural Theory,
21110125,Emma May,1,ES 243-Biology for Engineers,EH 617-Advanced Field Techniques in Earth Sciences,MA 605-Commutative Algebra,MSE 310-Physics of Materials,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing
21110846,Finley Allison,2,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,CL 604-Advanced Reaction Engineering,,,
19510912,Chelsea Daugherty,3,CL 604-Advanced Reaction Engineering,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,,,
22520777,Turner Escobar,3,MA 624-Partial Differential Equations,CE 304-Concrete Design,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications
19110467,Erin Nixon,3,CH 401-Food Chemistry,HS 643-Indian and Western Cultural Theory,ES 415-Nature-inspired Materials Design,ES 243-Biology for Engineers,,
23510022,Cory Hammond,1,MSE 401-Introduction to Polymer Physics and Processing,MSE 625-Thermodynamics of thin film growth,PH 607-Topics in Quantum and Statistical Mechanics,CL 221-Chemical Engineering Thermodynamics,MSE 310-Physics of Materials,
19510261,Holly Fox,2,ME 636-Fuel Cell and Battery Systems,CL 604-Advanced Reaction Engineering,ES 613-Modern Control Theory,ME 321-Mechanics of Deformable Bodies,,
20110927,Antonio Ayala,4,HS 632-A Multilingual Nation,PH 607-Topics in Quantum and Statistical Mechanics,CL 628-Liquid State Theory,MSE 310-Physics of Materials,CE 624-River Engineering,HS 649-Public Policy and its Impact Evaluation
19110472,Blair Huber,1,MA 624-Partial Differential Equations,CH 401-Food Chemistry,EH 617-Advanced Field Techniques in Earth Sciences,CS 303-Mathematical Foundations for AI,,
22520091,Mac Felix,4,CH 401-Food Chemistry,CE 304-Concrete Design,MA 603-Nonlinear Analysis with Applications,CL 604-Advanced Reaction Engineering,CL 221-Chemical Engineering Thermodynamics,
22510088,Paisleigh Aguirre,2,MSE 209-Material Thermodynamics and Kinetics,CL 604-Advanced Reaction Engineering,CS 303-Mathematical Foundations for AI,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory,
20110034,Andy Branch,3,MA 603-Nonlinear Analysis with Applications,MSE 209-Material Thermodynamics and Kinetics,ME 636-Fuel Cell and Battery Systems,MSE 401-Introduction to Polymer Physics and Processing,,
21520935,Luisa Rodgers,4,MSE 209-Material Thermodynamics and Kinetics,ES 243-Biology for Engineers,CS 303-Mathematical Foundations for AI,MA 603-Nonlinear Analysis with Applications,MS 404-Neuromarketing,
21510446,Mathias Kirby,2,MA 605-Commutative Algebra,CL 604-Advanced Reaction Engineering,MA 603-Nonlinear Analysis with Applications,HS 649-Public Policy and its Impact Evaluation,,
20110620,Skyla McCann,3,MA 603-Nonlinear Analysis with Applications,CL 604-Advanced Reaction Engineering,PH 607-Topics in Quantum and Statistical Mechanics,ME 636-Fuel Cell and Battery Systems,CE 304-Concrete Design,
19520551,Heath Bell,3,CH 401-Food Chemistry,MA 624-Partial Differential Equations,CG 506-Experimental Techniques in Cognitive Science,,,
23110787,Melody Tran,4,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,ES 623-Biomolecular Materials Science,CL 221-Chemical Engineering Thermodynamics,HS 632-A Multilingual Nation,
22110099,Braxton Knox,1,ME 636-Fuel Cell and Battery Systems,ES 243-Biology for Engineers,MA 624-Partial Differential Equations,CL 221-Chemical Engineering Thermodynamics,,
21110592,Kallie Koch,4,PH 607-Topics in Quantum and Statistical Mechanics,CL 628-Liquid State Theory,MA 603-Nonlinear Analysis with Applications,MSE 310-Physics of Materials,MSE 209-Material Thermodynamics and Kinetics,
20510263,Salvador Strickland,2,ME 321-Mechanics of Deformable Bodies,HS 643-Indian and Western Cultural Theory,MSE 209-Material Thermodynamics and Kinetics,,,
22110783,Nia Ortiz,4,MSE 401-Introduction to Polymer Physics and Processing,EH 614-Physics of the Lithosphere,CL 628-Liquid State Theory,HS 649-Public Policy and its Impact Evaluation,ME 636-Fuel Cell and Battery Systems,CE 304-Concrete Design
20510085,Landon Hogan,2,CS 303-Mathematical Foundations for AI,MS 404-Neuromarketing,MSE 401-Introduction to Polymer Physics and Processing,,,
22510393,Kathryn Hood,4,HS 649-Public Policy and its Impact Evaluation,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,CL 628-Liquid State Theory,MSE 209-Material Thermodynamics and Kinetics,CL 221-Chemical Engineering Thermodynamics
19510803,Brixton Burch,1,ME 321-Mechanics of Deformable Bodies,HS 643-Indian and Western Cultural Theory,MSE 625-Thermodynamics of thin film growth,ES 243-Biology for Engineers,EH 617-Advanced Field Techniques in Earth Sciences,PH 607-Topics in Quantum and Statistical Mechanics
23510771,Freyja Hawkins,2,HS 649-Public Policy and its Impact Evaluation,ES 243-Biology for Engineers,CE 636-Traffic and Roadway Engineering,,,
22520002,Victor Perkins,4,ES 243-Biology for Engineers,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,,
19520052,Sage Zhang,1,CH 401-Food Chemistry,EH 617-Advanced Field Techniques in Earth Sciences,CL 604-Advanced Reaction Engineering,ES 623-Biomolecular Materials Science,ES 243-Biology for Engineers,
19510393,Isaias Hutchinson,4,CH 401-Food Chemistry,MSE 209-Material Thermodynamics and Kinetics,MA 605-Commutative Algebra,MSE 401-Introduction to Polymer Physics and Processing,,
19510409,Jamie Gibson,1,MA 605-Commutative Algebra,,,,,
19520011,Tyler Woodward,3,ES 613-Modern Control Theory,CS 303-Mathematical Foundations for AI,MSE 625-Thermodynamics of thin film growth,HS 643-Indian and Western Cultural Theory,MSE 209-Material Thermodynamics and Kinetics,
20110456,Drew Wang,4,CL 221-Chemical Engineering Thermodynamics,CH 401-Food Chemistry,MA 624-Partial Differential Equations,MSE 625-Thermodynamics of thin film growth,MSE 310-Physics of Materials,HS 643-Indian and Western Cultural Theory
23110105,Cohen Khan,4,MSE 625-Thermodynamics of thin film growth,MA 624-Partial Differential Equations,CS 303-Mathematical Foundations for AI,CL 604-Advanced Reaction Engineering,ES 613-Modern Control Theory,
19520115,Mabel Pruitt,1,EH 614-Physics of the Lithosphere,ES 415-Nature-inspired Materials Design,ME 321-Mechanics of Deformable Bodies,CL 604-Advanced Reaction Engineering,,
23510418,Gatlin Taylor,4,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science,MSE 401-Introduction to Polymer Physics and Processing,ES 243-Biology for Engineers,ME 636-Fuel Cell and Battery Systems,
19510036,Sofia Donovan,3,MSE 209-Material Thermodynamics and Kinetics,ES 613-Modern Control Theory,MSE 401-Introduction to Polymer Physics and Processing,ES 623-Biomolecular Materials Science,HS 643-Indian and Western Cultural Theory,HS 649-Public Policy and its Impact Evaluation
23510390,Brayan Ventura,4,CL 628-Liquid State Theory,MSE 209-Material Thermodynamics and Kinetics,CE 304-Concrete Design,ES 623-Biomolecular Materials Science,EH 617-Advanced Field Techniques in Earth Sciences,
22110210,Zora Newton,2,CE 304-Concrete Design,ES 613-Modern Control Theory,MA 603-Nonlinear Analysis with Applications,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,CL 628-Liquid State Theory
20110524,Santino Kaur,1,CL 221-Chemical Engineering Thermodynamics,MA 624-Partial Differential Equations,MA 605-Commutative Algebra,HS 649-Public Policy and its Impact Evaluation,ES 613-Modern Control Theory,ME 636-Fuel Cell and Battery Systems
21110154,Holland Miles,1,EH 617-Advanced Field Techniques in Earth Sciences,,,,,
19520574,Jared Horn,1,MSE 209-Material Thermodynamics and Kinetics,EH 617-Advanced Field Techniques in Earth Sciences,,,,
20110364,Avah Huff,2,HS 649-Public Policy and its Impact Evaluation,CE 304-Concrete Design,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,,
23510023,Finnley Rosales,2,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications,MA 624-Partial Differential Equations,,,
20110055,Kinley Miranda,1,MA 603-Nonlinear Analysis with Applications,MSE 310-Physics of Materials,CL 604-Advanced Reaction Engineering,,,
23110966,Rory Suarez,3,ES 623-Biomolecular Materials Science,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory,MSE 401-Introduction to Polymer Physics and Processing,
23510229,Jimena Moreno,3,ES 613-Modern Control Theory,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics
22520701,Myles Maldonado,1,CL 604-Advanced Reaction Engineering,CL 221-Chemical Engineering Thermodynamics,,,,
20110957,Elaina Quintero,4,MA 624-Partial Differential Equations,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications,,
22110956,Thatcher Cobb,2,MA 624-Partial Differential Equations,CE 304-Concrete Design,HS 643-Indian and Western Cultural Theory,MSE 401-Introduction to Polymer Physics and Processing,,
19510153,Aviana Cummings,1,ES 243-Biology for Engineers,MSE 209-Material Thermodynamics and Kinetics,,,,
20510897,Raiden Randall,2,CL 628-Liquid State Theory,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,CG 506-Experimental Techniques in Cognitive Science,,
19510932,Christina Nguyen,1,CL 221-Chemical Engineering Thermodynamics,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,ES 413-Deep Learning,,
23510749,Gabriel Lyons,4,MSE 209-Material Thermodynamics and Kinetics,ES 243-Biology for Engineers,CL 221-Chemical Engineering Thermodynamics,ME 636-Fuel Cell and Battery Systems,EH 617-Advanced Field Techniques in Earth Sciences,HS 632-A Multilingual Nation
22510186,Kenzie Cobb,2,ES 415-Nature-inspired Materials Design,ES 243-Biology for Engineers,MS 404-Neuromarketing,MSE 209-Material Thermodynamics and Kinetics,MSE 625-Thermodynamics of thin film growth,CL 221-Chemical Engineering Thermodynamics
22520362,Raphael Miller,2,CH 401-Food Chemistry,ME 321-Mechanics of Deformable Bodies,EH 614-Physics of the Lithosphere,MSE 209-Material Thermodynamics and Kinetics,CL 221-Chemical Engineering Thermodynamics,CE 636-Traffic and Roadway Engineering
22510880,Isabella Morrow,2,ES 623-Biomolecular Materials Science,CH 401-Food Chemistry,MSE 401-Introduction to Polymer Physics and Processing,,,
22510476,Kyree Barrera,2,PH 607-Topics in Quantum and Statistical Mechanics,ES 613-Modern Control Theory,ES 243-Biology for Engineers,CL 628-Liquid State Theory,,
22110430,Beatrice Morrow,3,HS 632-A Multilingual Nation,MSE 401-Introduction to Polymer Physics and Processing,CL 604-Advanced Reaction Engineering,,,
20110728,Kyree Martin,4,ME 321-Mechanics of Deformable Bodies,MSE 310-Physics of Materials,MSE 209-Material Thermodynamics and Kinetics,CL 628-Liquid State Theory,CL 604-Advanced Reaction Engineering,CS 303-Mathematical Foundations for AI
21110440,Mila Harris,4,ES 243-Biology for Engineers,CL 221-Chemical Engineering Thermodynamics,MA 605-Commutative Algebra,MSE 625-Thermodynamics of thin film growth,EH 617-Advanced Field Techniques in Earth Sciences,
21520966,Samuel Truong,1,EH 614-Physics of the Lithosphere,CE 304-Concrete Design,CL 628-Liquid State Theory,,,
20110630,Judith Dodson,3,MA 624-Partial Differential Equations,ME 636-Fuel Cell and Battery Systems,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,MSE 209-Material Thermodynamics and Kinetics
20510597,Seven Wilson,4,MSE 401-Introduction to Polymer Physics and Processing,MSE 625-Thermodynamics of thin film growth,EH 617-Advanced Field Techniques in Earth Sciences,CH 401-Food Chemistry,CS 303-Mathematical Foundations for AI,PH 607-Topics in Quantum and Statistical Mechanics
23110182,Luna Brady,1,ES 243-Biology for Engineers,EH 614-Physics of the Lithosphere,,,,
19110045,Reed Trevino,3,MSE 401-Introduction to Polymer Physics and Processing,ES 623-Biomolecular Materials Science,CL 221-Chemical Engineering Thermodynamics,MA 624-Partial Differential Equations,CE 304-Concrete Design,
19510135,Priscilla Jacobson,4,MA 624-Partial Differential Equations,CE 636-Traffic and Roadway Engineering,CS 303-Mathematical Foundations for AI,CL 221-Chemical Engineering Thermodynamics,,
19510582,Legacy Gilbert,4,MA 624-Partial Differential Equations,MSE 401-Introduction to Polymer Physics and Processing,PH 607-Topics in Quantum and Statistical Mechanics,CH 401-Food Chemistry,ES 613-Modern Control Theory,MSE 310-Physics of Materials
22510142,Jocelyn Perry,3,ES 243-Biology for Engineers,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry,,,
20520457,Waylon Harding,2,ES 623-Biomolecular Materials Science,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,ME 321-Mechanics of Deformable Bodies
19110402,Aniya Johnston,3,MA 624-Partial Differential Equations,CH 401-Food Chemistry,CE 304-Concrete Design,PH 607-Topics in Quantum and Statistical Mechanics,ES 623-Biomolecular Materials Science,MSE 209-Material Thermodynamics and Kinetics
22510404,Felix Parks,2,CH 401-Food Chemistry,MSE 310-Physics of Materials,ES 613-Modern Control Theory,,,
20510212,Ainsley Strong,1,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,MSE 625-Thermodynamics of thin film growth,MA 624-Partial Differential Equations,ES 623-Biomolecular Materials Science,CE 304-Concrete Design
19110627,Axl Turner,3,ME 321-Mechanics of Deformable Bodies,MSE 310-Physics of Materials,CL 604-Advanced Reaction Engineering,ES 613-Modern Control Theory,CE 636-Traffic and Roadway Engineering,
22110386,Brooklyn James,4,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,MSE 209-Material Thermodynamics and Kinetics,MSE 310-Physics of Materials,MSE 401-Introduction to Polymer Physics and Processing,HS 643-Indian and Western Cultural Theory
21510898,Jaxson Stevens,1,CL 628-Liquid State Theory,MA 624-Partial Differential Equations,HS 649-Public Policy and its Impact Evaluation,ME 321-Mechanics of Deformable Bodies,,
23520479,Katherine Benson,4,ES 243-Biology for Engineers,EH 617-Advanced Field Techniques in Earth Sciences,MSE 310-Physics of Materials,EH 614-Physics of the Lithosphere,ME 636-Fuel Cell and Battery Systems,
21510184,Desmond Abbott,4,HS 643-Indian and Western Cultural Theory,MSE 625-Thermodynamics of thin film growth,MSE 310-Physics of Materials,EH 617-Advanced Field Techniques in Earth Sciences,MSE 401-Introduction to Polymer Physics and Processing,
20510723,Melany Walters,1,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,ES 415-Nature-inspired Materials Design,PH 607-Topics in Quantum and Statistical Mechanics
19510266,Colson Velez,2,EH 617-Advanced Field Techniques in Earth Sciences,ES 623-Biomolecular Materials Science,HS 643-Indian and Western Cultural Theory,ME 321-Mechanics of Deformable Bodies,ES 243-Biology for Engineers,HS 649-Public Policy and its Impact Evaluation
22510649,Megan Vazquez,3,CS 303-Mathematical Foundations for AI,HS 649-Public Policy and its Impact Evaluation,MSE 209-Material Thermodynamics and Kinetics,PH 607-Topics in Quantum and Statistical Mechanics,CH 401-Food Chemistry,HS 643-Indian and Western Cultural Theory
